serial,UniquePsKey_,PsKey_,TpNum_,TpOrigCSDuid,TpDestCSDuid,TpStartTimeExt,trip_week,weekday,,,TpDateExt,Week,TpDayExt,Mon,Tue,Wed,Thu,Fri,Sat,Sun,WeekDay
184,316,404,1,3518009,3518001,730,5,2,,,10/30/2019,5,Wed,0,0,2,0,0,0,0,2
185,316,404,2,3518001,3520005,755,5,2,,,10/30/2019,5,Wed,0,0,2,0,0,0,0,2
186,316,404,3,3520005,3518009,1340,5,2,,,10/30/2019,5,Wed,0,0,2,0,0,0,0,2
187,316,404,4,3518009,3518009,1730,5,2,,,10/30/2019,5,Wed,0,0,2,0,0,0,0,2
188,316,404,5,3518009,3518009,2030,5,2,,,10/30/2019,5,Wed,0,0,2,0,0,0,0,2
189,316,404,6,3518009,3518009,2100,5,2,,,10/30/2019,5,Wed,0,0,2,0,0,0,0,2
190,320,408,1,3520005,3520005,800,5,2,,,10/30/2019,5,Wed,0,0,2,0,0,0,0,2
191,331,424,1,3520005,3520005,620,5,3,,,10/31/2019,5,Thu,0,0,0,3,0,0,0,3
192,335,429,1,3518009,3520005,730,5,4,,,11/1/2019,5,Fri,0,0,0,0,4,0,0,4
193,335,429,2,3520005,3518001,1400,5,4,,,11/1/2019,5,Fri,0,0,0,0,4,0,0,4
194,335,429,3,3518001,3520005,1900,5,4,,,11/1/2019,5,Fri,0,0,0,0,4,0,0,4
195,335,429,4,3520005,3518009,2230,5,4,,,11/1/2019,5,Fri,0,0,0,0,4,0,0,4
196,342,439,1,3520005,3520005,700,5,5,,,11/2/2019,5,Sat,0,0,0,0,0,5,0,5
197,342,439,2,3520005,3520005,1500,5,5,,,11/2/2019,5,Sat,0,0,0,0,0,5,0,5
198,342,439,3,3520005,3520005,1900,5,5,,,11/2/2019,5,Sat,0,0,0,0,0,5,0,5
199,344,441,1,3520005,3520005,1100,6,6,,,11/3/2019,6,Sun,0,0,0,0,0,0,6,6
200,347,444,1,3520005,3520005,1310,6,6,,,11/3/2019,6,Sun,0,0,0,0,0,0,6,6
201,352,452,1,3518005,3518005,800,6,6,,,11/3/2019,6,Sun,0,0,0,0,0,0,6,6
202,352,452,2,3518005,3518005,1400,6,6,,,11/3/2019,6,Sun,0,0,0,0,0,0,6,6
203,356,456,1,3520005,3520005,1300,6,6,,,11/3/2019,6,Sun,0,0,0,0,0,0,6,6
204,356,456,2,3520005,3520005,1500,6,6,,,11/3/2019,6,Sun,0,0,0,0,0,0,6,6
205,356,456,3,3520005,3520005,1700,6,6,,,11/3/2019,6,Sun,0,0,0,0,0,0,6,6
206,358,458,1,3520005,3520005,1110,6,6,,,11/3/2019,6,Sun,0,0,0,0,0,0,6,6
207,359,459,1,3520005,3520005,1300,6,6,,,11/3/2019,6,Sun,0,0,0,0,0,0,6,6
208,362,462,1,3520005,3520005,1100,6,6,,,11/3/2019,6,Sun,0,0,0,0,0,0,6,6
209,362,462,2,3520005,3520005,1230,6,6,,,11/3/2019,6,Sun,0,0,0,0,0,0,6,6
210,362,462,3,3520005,3520005,1500,6,6,,,11/3/2019,6,Sun,0,0,0,0,0,0,6,6
211,362,462,4,3520005,3520005,1730,6,6,,,11/3/2019,6,Sun,0,0,0,0,0,0,6,6
212,362,462,5,3520005,3520005,2100,6,6,,,11/3/2019,6,Sun,0,0,0,0,0,0,6,6
213,363,463,1,3520005,3520005,830,6,6,,,11/3/2019,6,Sun,0,0,0,0,0,0,6,6
214,363,463,2,3520005,3520005,1300,6,6,,,11/3/2019,6,Sun,0,0,0,0,0,0,6,6
215,366,466,1,3520005,3520005,1340,6,6,,,11/3/2019,6,Sun,0,0,0,0,0,0,6,6
216,366,466,2,3520005,3520005,1415,6,6,,,11/3/2019,6,Sun,0,0,0,0,0,0,6,6
217,366,466,3,3520005,3520005,1435,6,6,,,11/3/2019,6,Sun,0,0,0,0,0,0,6,6
218,366,466,4,3520005,3520005,1525,6,6,,,11/3/2019,6,Sun,0,0,0,0,0,0,6,6
219,367,467,1,3521005,3521005,1130,6,6,,,11/3/2019,6,Sun,0,0,0,0,0,0,6,6
220,367,467,2,3521005,3521005,1255,6,6,,,11/3/2019,6,Sun,0,0,0,0,0,0,6,6
221,367,467,3,3521005,3521005,1630,6,6,,,11/3/2019,6,Sun,0,0,0,0,0,0,6,6
222,368,468,1,3520005,3520005,1000,6,6,,,11/3/2019,6,Sun,0,0,0,0,0,0,6,6
223,368,468,2,3520005,3520005,1200,6,6,,,11/3/2019,6,Sun,0,0,0,0,0,0,6,6
224,372,472,1,3520005,3520005,730,6,6,,,11/3/2019,6,Sun,0,0,0,0,0,0,6,6
225,372,472,2,3520005,3520005,1415,6,6,,,11/3/2019,6,Sun,0,0,0,0,0,0,6,6
226,372,472,3,3520005,3520005,1630,6,6,,,11/3/2019,6,Sun,0,0,0,0,0,0,6,6
227,372,472,4,3520005,3520005,1700,6,6,,,11/3/2019,6,Sun,0,0,0,0,0,0,6,6
228,372,472,5,3520005,3520005,1900,6,6,,,11/3/2019,6,Sun,0,0,0,0,0,0,6,6
229,373,473,1,3520005,3520005,1045,6,6,,,11/3/2019,6,Sun,0,0,0,0,0,0,6,6
230,373,473,2,3520005,3520005,1300,6,6,,,11/3/2019,6,Sun,0,0,0,0,0,0,6,6
231,373,473,3,3520005,3520005,1745,6,6,,,11/3/2019,6,Sun,0,0,0,0,0,0,6,6
232,376,476,1,3520005,3520005,1240,6,6,,,11/3/2019,6,Sun,0,0,0,0,0,0,6,6
233,376,476,2,3520005,3520005,1800,6,6,,,11/3/2019,6,Sun,0,0,0,0,0,0,6,6
234,379,479,1,3520005,3520005,830,6,6,,,11/3/2019,6,Sun,0,0,0,0,0,0,6,6
235,380,481,1,3518009,3519036,500,6,0,,,11/4/2019,6,Mon,0,0,0,0,0,0,0,0
236,382,484,1,3520005,3520005,1900,6,0,,,11/4/2019,6,Mon,0,0,0,0,0,0,0,0
237,383,485,1,3518005,3520005,830,6,0,,,11/4/2019,6,Mon,0,0,0,0,0,0,0,0
238,384,487,1,3520005,3520005,1230,6,0,,,11/4/2019,6,Mon,0,0,0,0,0,0,0,0
239,384,487,2,3520005,3520005,1800,6,0,,,11/4/2019,6,Mon,0,0,0,0,0,0,0,0
240,391,494,1,3520005,3520005,1200,6,0,,,11/4/2019,6,Mon,0,0,0,0,0,0,0,0
241,391,494,2,3520005,3520005,1330,6,0,,,11/4/2019,6,Mon,0,0,0,0,0,0,0,0
242,392,495,1,3520005,3520005,700,6,0,,,11/4/2019,6,Mon,0,0,0,0,0,0,0,0
243,393,496,1,3520005,3520005,1039,6,0,,,11/4/2019,6,Mon,0,0,0,0,0,0,0,0
244,394,497,1,3520005,3520005,640,6,0,,,11/4/2019,6,Mon,0,0,0,0,0,0,0,0
245,394,497,2,3520005,3520005,1600,6,0,,,11/4/2019,6,Mon,0,0,0,0,0,0,0,0
246,395,498,1,3520005,3520005,1047,6,0,,,11/4/2019,6,Mon,0,0,0,0,0,0,0,0
247,396,499,1,3521010,3520005,730,8,0,,,11/18/2019,8,Mon,0,0,0,0,0,0,0,0
248,396,499,2,3520005,3521010,1430,8,0,,,11/18/2019,8,Mon,0,0,0,0,0,0,0,0
249,398,501,1,3524009,3520005,700,6,0,,,11/4/2019,6,Mon,0,0,0,0,0,0,0,0
250,398,501,2,3520005,3524009,1700,6,0,,,11/4/2019,6,Mon,0,0,0,0,0,0,0,0
251,399,502,1,3520005,3520005,514,6,0,,,11/4/2019,6,Mon,0,0,0,0,0,0,0,0
